datetime,open,high,low,close,volume,Ticker
2020-11-30,214.10001,214.75999,210.84000,214.070007,33064800,MSFT
2020-12-01,214.50999,217.32001,213.35001,216.21001,30904500,MSFT
2020-12-02,214.88000,215.47000,212.80000,215.37000,23724500,MSFT
2020-12-03,214.61000,216.38000,213.64999,214.24001,25120900,MSFT
2020-12-04,214.22000,215.38000,213.17999,214.36000,24666000,MSFT
2020-12-07,214.37000,215.53999,212.99001,214.28999,24620000,MSFT
2020-12-08,213.97000,216.95000,212.89000,216.0099945,23284100,MSFT
2020-12-09,215.16000,215.23000,211.21001,211.80000,32440600,MSFT
2020-12-10,211.77000,213.080002,210.36000,210.52000,26733300,MSFT
2020-12-11,210.050003,213.32001,209.11000,213.25999,30979400,MSFT
2020-12-14,213.10001,216.21001,212.88000,214.20000,28798400,MSFT
2020-12-15,215.17000,215.42000,212.24001,214.13000,27000600,MSFT
2020-12-16,214.75,220.11000,214.72000,219.28000,35023300,MSFT
2020-12-17,219.87000,220.89000,217.92000,219.42000,32515800,MSFT
2020-12-18,218.59000,219.69000,216.020004,218.59000,63354900,MSFT
2020-12-21,217.55000,224,217.28000,222.59000,37181900,MSFT
2020-12-22,222.69000,225.63000,221.85001,223.94000,22612200,MSFT
2020-12-23,223.11000,223.56000,220.80000,221.020004,18699600,MSFT
2020-12-24,221.42000,223.61000,221.20000,222.75,10550600,MSFT
2020-12-28,224.45000,226.029999,223.020004,224.96001,17933500,MSFT
2020-12-29,226.31000,227.17999,223.58000,224.14999,17403200,MSFT
2020-12-30,225.23000,225.63000,221.47000,221.67999,20272300,MSFT
2020-12-31,221.70000,223,219.67999,222.42000,20942100,MSFT
2021-01-04,222.53000,223,214.81000,217.69000,37130100,MSFT
2021-01-05,217.25999,218.52000,215.70000,217.89999,23823000,MSFT
2021-01-06,212.17000,216.49001,211.94000,212.25,35930700,MSFT
2021-01-07,214.039993,219.34000,213.71001,218.28999,27694500,MSFT
2021-01-08,218.67999,220.58000,217.029999,219.62000,22956200,MSFT
2021-01-11,218.47000,218.91000,216.73000,217.49001,23031300,MSFT
2021-01-12,216.5,217.10001,213.32001,214.92999,23249300,MSFT
2021-01-13,214.020004,216.75999,213.92999,216.34000,20087100,MSFT
2021-01-14,215.91000,217.46001,212.74001,213.020004,29480800,MSFT
2021-01-15,213.52000,214.50999,212.029999,212.64999,31746500,MSFT
2021-01-19,213.75,216.98000,212.63000,216.44000,30480900,MSFT
2021-01-20,217.70000,225.78999,217.28999,224.34000,37777300,MSFT
2021-01-21,224.70000,226.30000,222.42000,224.97000,30709400,MSFT
